value,timestamp,identifier_columns,identifier_values,entityId,hash
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,0b4f2665e9bcd5d01646073f9e07a430
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,0ac6dc6f77e7841dc7c2dbbbc22a8f06
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,7a43cb440f3e85db1ff92b6ee6e98c65
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,e713c1414874e7c19776c43cd1217e13
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,92ccac6431627ea7a512bdb4b1dd7f02
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,244674b71addf6e290b64e3798567384
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,49dc3ecbf5520fdd0a164ebe0357e456
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,4d11dcd7d19570f2c7b1698a6916c524
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,16c3b29dfa5af0200af5e103f002f982
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,6f204b2011a70239a753862cb116370d
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,b781a3adf473f307602422af90bde063
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,f31f1ab271cb083c10126c92a1827981
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,1cee7124f1ab53369fa6d59d904e2f45
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,74c75440fb502e109d1bcfb0247e0601
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,9c07dbe420202951f4d0b3ce55d7d1ff
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,bdd709f498454fd3d577ca5faafcf723
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,0729ec620b121a59ed8b13e5349ef44e
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,2e1c6d41b56419903346729e88b22d13
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,84c7300cf661b8177f288358d255a76a
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,11c38529ea54d20b34da6899fbb9134b
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,b72d54473661ad97394489b49a232afe
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,11cff5e5f449ba489d56fa746b37cfee
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,38ed014b88efadcb0c0eba37740d1658
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,48113925146caa1bd1f9fa060e6ca0a2
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,f006e2f897c8608c06ccab793ecdcc13
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,26,25979372ec69c243056f0f1711f44644
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,27,162f6a9c1b4950c2a474ff5dbabb3d5b
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,28,966d404ca39f6a9c137127a111632584
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,29,1564f34c9f83d8484e23d8a12068ded4
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,30,575f03f287b7299c3cbbbb9faa3c436b
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,31,78935c3751169105aeafd72647c5435d
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,32,7cc46c65e08d41c89f1273e7847bfadd
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,33,70fa78b075751dce0cb29cc4c101464f
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,34,39a8759bca16451ab322ce1335dd2639
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,35,d2b4d6a6eebfc4fdc9a612a0daeaddf9
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,36,58394e491042b4819cf2def63b0e7bbe
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,37,e90d0e1b1b55e56292140972d62c3f6b
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,38,8e0a16672d821c49301551783f6221bd
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,39,0f2552a5707a4677eccba874d1bf0679
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,40,83e205c41eba468bb479cd5dce27fad2
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,41,a8d8647951763d48e9264c9e265580af
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,42,23a3039bbf036864e112591a0f166546
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,43,ba4bbd2cd94df83ebfc2893aeac6deaa
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,44,4ce7244cf2e5d8c2e5ce965c148be635
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,45,74e53f33b2637a270b63bda4c4784a0c
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,46,ae8efe4392131a1fcb685be7f9b8f912
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,47,9fab093f082df9d15be782cb4c6c29fe
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,48,7cc1455e9ba4612c0542617bcba87718
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,49,b943e4e15f9cc45b38676f35f70b8d15
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,50,8521244a9102893c9eed5aca47536411
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,51,a2e1997284799cff1c07b095cfffabd6
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,52,132ad4dcac388fc59712690c4ecd31e5
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,53,58d79d95106f356175f324f087c10335
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,54,5239d667de6c07660a95dc764efb3d94
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,55,463800fc065c2d1d2f19d0c668b3caf4
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,56,8af6b2275d7136a548334ec045fd6df6
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,57,6bd36e169ae02d157469efccd813dd92
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,58,268a6a0d166181c380ea28d964677bda
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,59,288dba8a7736344fd30ff409ab64ef21
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,60,b0a7c7fc7375754d449e7fea894f45f4
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,61,6db169e8205ebc365379b14b45314d57
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,62,507e36c3b2a6cd50078cfa694bd7da6a
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,63,f95b768997c1ee642de8c3d92e1e4406
R ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,64,4cd3488499d63b3f96c4a99f3d2dde36
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,65,a2bf6d80b72dc3cfac87b4bf1238c589
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,66,67035fb83b335785c7d8085938af4b85
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,67,f0d7c4bcf40c086806bcd6fd8ebf16ce
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,68,93d5be9f1c12374c1e061cb958fba112
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,69,90d61b8018fde89904ba1214cd720b29
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,70,1781a7588a398fcafd7202c9836d1508
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,71,01faf8c11a50b632d6eef3d25e89b66d
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,72,8ff83bd7e6dcb7011f7f7b70d2c1c2bb
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,73,0ed0c379a2d38e128d42f362d02042dd
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,74,8f05fcdb17f31aef42127a5e1f7ee71b
A ,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,75,7b7c5fe9cb5af4877f0836ee12d2a13a
