value,timestamp,identifier_columns,identifier_values,entityId,hash
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,65dbf926afe2fe7e486ad73c12d9169c
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,cd1a1e4c982c3863665ebf7700f92a72
5,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,99afe7e4911bd6d3bd95b07fa71a89db
5,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,f32a951739f43863b3c958927ac35406
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,539327bf102aa60793cf73bb7479ad4f
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,d9ba6d7268f37462e0500c9db57f47be
-3,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,a7960f7d7f8bd7ec108d1beda1dc2556
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,43a47e37477017941fb87ad030de0c7d
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,2948ba72945590c9b42b403c37efd46b
2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,3e8d662a119fab565fef699cfa9b92ea
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,923d1ef3b68b932de8547c3028af5cf5
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,d9d365951bd1b09424b009c9abcb21a0
3,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,38971248c9c4830c2034b99d8b461da3
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,83ef8ec7cab24d62bf5a7f2bcb8ca45d
2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,93d0118ee9f0a03a4f70e42987c42270
3,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,e6cf0d5e38f37c695149a6a8dee01655
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,0c28489a130cdbdd7760d111faeb40a7
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,1673ee9d3dd2776003ae4803708c9a89
4,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,ce0f7a57c2ac1b0fea5faf1e35b27fda
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,4fb53939ad02bbd7d225ce50b961acf4
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,050cd700c1403987d1dd51f53fe11f0d
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,9002c3c55e589da31f5df3929f21a734
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,9ffef626779dfd84a97845d5aa9f6eac
2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,c836bda5a7c03de76a5f7fdeecf2c39e
2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,428e7436d66596fc7e6d133bc5c1d638
