value,timestamp,identifier_columns,identifier_values,entityId,hash
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,65dbf926afe2fe7e486ad73c12d9169c
13,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,738c4d38c67ba02180e95ab63bde2778
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,34b6b18092d76ca95d0b6144300e0a7d
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,806a165865493192ef0c8f453500ab27
14,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,abb3cbf4d3c59623cfb7313aee978fff
10,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,f76a82f7babf7365788299531fef4c02
-3,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,a7960f7d7f8bd7ec108d1beda1dc2556
14,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,fa97964752af5059099f297fcb56b6b1
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,2948ba72945590c9b42b403c37efd46b
12,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,83b4a8fe1a7d3982a1704214f1b3c62d
13,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,41b671b06d4fffe3649f16a6e0833c28
14,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,809bd1b8eef4d4cfc5b3aea67ec1adaf
7,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,b70bfe3497ed3ed93248a1b0ec723ca9
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,83ef8ec7cab24d62bf5a7f2bcb8ca45d
15,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,17681d08932ca745dc0c8b36bbf6190d
2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,24338ad3d9ca59b438f5a482125efb5d
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,0c28489a130cdbdd7760d111faeb40a7
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,1673ee9d3dd2776003ae4803708c9a89
16,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,3a3fdf2577416adbaaf9b172543c6970
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,4fb53939ad02bbd7d225ce50b961acf4
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,050cd700c1403987d1dd51f53fe11f0d
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,9002c3c55e589da31f5df3929f21a734
1,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,9ffef626779dfd84a97845d5aa9f6eac
15,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,95da927bb6eb37efc7bbe088f5c7323c
9,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,db19b419985955807ab1c28705f81f35
