value,timestamp,identifier_columns,identifier_values,entityId,hash
Air University,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,1e65d7e6fdf3a9be90aa0ccffcd38c15
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,41a75fcb15befe6aa6443ec7a0524f86
The University of Alabama System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,95b27df1b30342ebed270b9df1c77361
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,4afa600a47e5fcfdb0e78c9d3e531404
The University of Alabama System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,c0f7598e6437e37c8202ec52e86995a8
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,c009ce99c22b395eb4c01d6c78c1e969
The University of Alabama System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,da803fa2fb17053cd39ebc9949d805d1
The University of Alabama System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,b5be188b96cffc639f90c18b367e5c82
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,ba168367c6a95ad3c8b4633dac14940f
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,fef59303e1ae8156fcc75ec75fc580be
Auburn University,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,1893a00e3b2ca33f9e305c435d93e702
Auburn University,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,b8ff0b8f422a2dbd5b3ca994311b7791
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,6af50a018507bc72cc150785648e119a
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,93eea96393df80e1f8847490ba7419ae
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,86c426a25be1f7e4f10e48657a06ae53
Education Management Corporation,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,357de204b956d08e155da6eb44382ec3
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,83aca2c617dc6a4bbd6b3b8041a10592
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,7d4723cd3e8e691ee634d17c2be54a66
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,3802682ee57c26c76fe67441f7c37ceb
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,67852840a2f4aa20baec8ef2ee75b67f
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,406020585096ef05b7371f55861a08a3
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,9a6cfc02be7c16aa95e2db830e522419
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,adb4e0544001d6811818a285c7a87449
Herzing Inc,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,40fcca2836c41aba6be9e4c2d2e5cab8
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,afb60c7bf07686b502f00e06901dc911
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,26,dcef8bf0cf2be40783093db653e8e5f7
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,27,2799c9e5440caf357311d2ea12a27177
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,28,eb66e6adfc0a91ab8d6ab2d42b6de372
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,29,b70f7ede5ec0eef300de5f326753c9d2
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,30,29834c5d93399db4de9d7706c517c322
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,31,4ebbf5be0c08eb34cc3ae80f9034025d
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,32,857d1b9def2169d0d43f9b0c84e49de5
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,33,b6588cf7135df3d2d00b7cab495020af
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,34,1370383194c5db4720554122ec8fea17
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,35,cc77a53ad3288dddd11fc9b283747fde
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,36,7069186137a6551099e033799e9755c5
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,37,b49e73747c9c769f60ca9edac46209a1
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,38,077fe6678fabbbcd8627584b0c29d9f0
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,39,2723461f1e3661f731f8c253bdeda92d
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,40,710c097a8e845165f2c6045f049715bd
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,41,abe175a6f2f65335f92342a9f116f36a
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,42,cb67419050d9a888baa59c513ce15314
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,43,52f6578c965ba7adbb86bbbd75269f25
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,44,fac3d95c6107467dedaae0d6750e0738
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,45,97290edbdfe4e699a078c601aa86b489
Stenograph LLC,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,46,7bf969a90176c6cac432f30297c801b1
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,47,92bee802cbc62daaab1cf5e0bf04a907
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,48,4331f518b1199a4718101452f81fd084
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,49,c8f1299f394fe380f19caa788f2bd58a
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,50,f8b492f80e32201ccfc57e8f869e9475
Alabama Community College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,51,f216ffc2ac59c9141966417f2f45b2ea
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,52,70cc3744162ccf7c767f1f2e6b39707b
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,53,d6e968a329ce0353e809fa61fd336100
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,54,f0ef03afe1d530e00a4cf1d2375270af
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,55,c8c15724ee5a47b98bcf6e049f0dc1b8
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,56,b629ac3a8792e1bb15feefbde8796b11
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,57,5aaf7a321d074da6e59e07578f809c3d
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,58,60582e5ad42e0e1cdee9439c1a1d2f4a
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,59,08a12c2fb1c81daa0abd776c1d773655
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,60,ccfd7bb2a8761eb484967218d7aef441
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,61,50eef00ac93358b6e3661493e2254deb
Alabama College System,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,62,e74c3a1c485f80afb1807f768f3cdee9
University of Alaska System of Higher Education,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,63,4d35c2fc39ddb9619c230951d68ff2e8
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,64,5d874f36c6c98d91d0f0391302ab8588
University of Alaska System of Higher Education,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,65,f625627b48df44aa2aa3736af46ea2eb
University of Alaska System of Higher Education,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,66,2da6f71025f928020435e7f32f8b0957
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,67,897fb1f0590c791fb677e614ad880be6
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,68,c0a4f329ed1826ad535c3a13bcacc9d0
Prospect Education,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,69,c4c84b602f41af47c1ad7abd55ffd69e
University of Alaska System of Higher Education,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,70,65cae35db5627455f25bd5b73969638c
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,71,03042d173c10a65b343abfa5dd26e469
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,72,d0aa4b68bd9248dba33d09b764734d34
Corinthian Colleges Inc,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,73,0401bf6b467ad8c2e05c5bf9526f1a7c
Career Education Corporation,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,74,3860a7137ef8fc883a7da3caabfe49f6
"EEG, Inc",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,75,cec2af41fed321aff52070e6ce4f50f6
"EEG, Inc",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,76,7047a4fe3258ff9f78d8278044c3c0e9
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,77,2ac9b82c57c771a9ffe84636ac504384
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,78,0dca646233a3fa8d8de3aca6f5bb4baf
American Institute of Technology Inc,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,79,b25705a2524c6c92b3864a63d63bef3c
U.S. Education Corporation,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,80,d65fbeb8761780036a62d8a250a34d25
Carrington Group Inc.,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,81,9ce89d13b94c9c29e47994b91f4d706c
Carrington Group Inc.,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,82,bd90212b3c258c1c0bff6e3493f82f33
CollegeAmerica,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,83,cb7b62627b1540fc92652c10c9c8a957
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,84,3417e73f9167d8280b7423f9a1917461
ATI Enterprises Inc,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,85,fb8e6ef74410452408f74d3466b92338
HWGIIA LLC,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,86,df4960437302e264dbede88c4afecb94
Arizona Board of Regents,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,87,e746ef733050bdc225e171f7eb223f5f
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,88,50a285e855703ce5b659af3e1e83cfb6
Arizona Board of Regents,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,89,080955ac1321a411d8b8088c931b922a
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,90,b2d1da80982b5f38c9257f5741ac322d
RAS Management Inc.,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,91,b61f084f2d4be0a7173da5f35878ee8c
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,92,1cf0767ef10626053473d6b5fa0e2700
Education Management Corporation,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,93,b9c312163c8932cd90130150bef41a67
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,94,e825e7ce8c073a7d0035705ec03acc7b
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,95,f909a3125a75d07fc6c9a7c7a9869cd8
"EEG, Inc",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,96,f18e4a16e17394ccd0ed93487d4fba98
"EEG, Inc",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,97,fb7d1f24aab82b331697a947d0299136
Cortiva Institute,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,98,a81e5c00bf5d4acc5aec918df82069f9
DeVry Inc,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,99,9d60d871c9f5485284afff2def6e6801
-2,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,100,1565c58c506ec8554cd3bd135e1c578f
