value,timestamp,identifier_columns,identifier_values,entityId,hash
"(32.404904, -86.244501)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,2e20428f5552bfd89a24974cfc58f6bb
"(34.78422, -86.57352)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,3e5de4bcde01a3f41d385cddd84a8db4
"(33.50096, -86.80446)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,7c8929838c102ee5eef96d3a1040e666
"(32.365021, -86.171548)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,b8068b446d7849f0f7bfc322d0dbba85
"(34.723896, -86.643936)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,a43d222fb3835df5bbbe0fa9840a7088
"(32.36623, -86.296158)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,e80c58ecbe5e24874135b2c7334a00a5
"(33.213047, -87.560429)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,ac1e06739d71fba810018d5cee14ddf3
"(33.208811, -87.54234)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,d932c872ac6331536443e945d4d2e4fa
"(32.924383, -85.947875)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,dfefca918aabf9f8b92d3fca627baa09
"(34.805512, -86.967621)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,2abf33e806e30f5f8fdb4428f8c05c86
"(32.36839, -86.17771)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,3945e49f8eabb861267f1ee3fe1282c9
"(32.603383, -85.486107)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,94b10d1043892bac2e68fbd6097a2627
"(33.517202, -86.850359)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,bfe2d27cf442bb6bb6bfc1c234b64be3
"(32.428862, -85.028995)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,e9e6c73b35808217c3969bd0133099fc
"(32.4254, -87.0177)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,f1931c4066d9bc629f5d60c09cbf55d0
"(32.342503, -86.217741)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,a7d90db6f70949a09b34cf1e8f71b7a9
"(31.299651, -85.835009)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,e200cf560045740e029a752ae2a71f3f
"(30.852589, -87.776669)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,fa64b1bc9584b153a36f968e9c9c7ad6
"(32.381918, -86.216358)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,ed6336efe059b03e4911ed48fdce22a7
"(33.994979, -85.98997)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,df58d24e792a5732b25934ac090b37d5
"(31.31592, -85.46796)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,8723b0cbb18a269ece4d12199309ab02
"(34.072755, -86.778259)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,bec68ebef843c7de7933c9dfcf8b9dcf
"(32.444291, -87.014531)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,43a306e51d330ebda4e9e83c638bc1a7
"(33.468136, -86.832344)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,3ad3c45137db3d7286b4ea768946ae13
"(32.352002, -86.285285)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,c8c35b84a6ac6a3112593eeaa7632a0e
"(34.860679, -87.660709)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,26,19be5cdd7d9139fb278c7b5f35d15d0e
"(34.771174, -86.572561)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,27,5839913df12db7fe68ed38246fbed0b6
"(32.576179, -86.381859)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,28,8c2854329e61dd824ddeb2f172eaebd3
"(33.824096, -85.763653)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,29,a91d7363efd23966c4f79b1a9020b09b
"(31.10199, -87.08423)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,30,a486d05039a896261ee27294e4c53859
"(33.651085, -86.709463)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,31,299ea83a6abdde0c19f1b47cc3531f0c
"(34.64771, -86.94908)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,32,44d1c4534474b6a63e2b54cddc77ffbe
"(32.629662, -87.316603)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,33,d924f040b20f7a401795d519c1591efa
"(33.449443, -86.888372)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,34,1ee0167d1169cf1f5176f45bdf600479
"(32.5843, -88.18725)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,35,1d61893ead6c4508c24951b67d830eee
"(31.321861, -86.451742)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,36,afde5b607d83e73dd53bf1af49a7667f
"(32.622556, -87.318077)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,37,88a53829fa30cec58da8d9ac2a347241
"(33.48072, -86.90718)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,38,608eb1e94d5307684722c9521bf8fb87
"(30.793454, -88.128739)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,39,b2b966ba710ecefcfe6f0c869b8bada0
"(33.10442, -86.86473)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,40,895b6b2f63ca89b03de42c5f599ec76a
"(34.730351, -87.678939)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,41,5e255066394a6b0f4eefcde190e41eb0
"(34.8072, -87.67976)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,42,2af6f5b620a099152d070d324538d38a
"(34.495048, -85.849296)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,43,11dd24e33a8825a01e29220e4114fbda
"(34.756663, -86.661596)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,44,3c949bb9d5865ca96939075971ecc201
"(31.48897, -87.323941)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,45,2d3b41ea61ab46379c8196af85d7771b
"(32.38201, -86.161564)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,46,0b7f2dc5f502f8dfdb9070dad8f67ff2
"(31.45764, -86.965527)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,47,2c00625a65f8e252e6172db786503473
"(30.694054, -88.056355)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,48,69f6ca9b7adc31d0eba16427165632ca
"(33.463236, -86.790142)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,49,77b5cf9e7be4776a5244466117d24b0e
"(32.419785, -87.031607)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,50,1c8fce74f52f3cc581c129600d98d199
"(33.119706, -87.557337)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,51,472c2a7d5223084e116ca34324afcfe7
"(34.200609, -86.168184)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,52,1285529b9abcc96c85a16142e48ed6cf
"(30.696578, -88.174087)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,53,e4b48ee9cb930914cf3ebeb1b05ea1d4
"(30.685751, -88.148412)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,54,ddd67c02ab311174b638b8d2ef72d78a
"(33.364978, -86.764053)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,55,6aea00df2553c6e406962bc31f543844
"(33.200716, -87.582864)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,56,d90520582e9bbf42712d92c0d1100cb3
"(33.433069, -86.112036)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,57,bdaaf0255cd08f19cdbb721823e47030
"(32.34991, -86.344604)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,58,e571806fbf112ba296d4f59435e839d6
"(31.7969, -85.95035)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,59,eb80463f8103a302cb76da5768796c58
"(32.41666, -85.71794)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,60,6eff46f13fe8228dac45111fdaa3c048
"(30.64004, -87.91202)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,61,ce985930c3cb128c11196c082d6493ab
"(33.835785, -87.265034)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,62,abd9eebfe43a88c2befd00c5d5cd5b6d
"(61.18824, -149.826779)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,63,d449189b523d4795fedcd57724dfd23a
"(62.11296, -145.52624)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,64,3dd326d647bd0c68459cfd41dcce3b62
"(64.857053, -147.82475)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,65,ebaa5adbe9dd3b5fb4d671e50f0bbe59
"(58.381976, -134.639195)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,66,de263752fda1284da7cc2add87355b73
"(61.189535, -149.814307)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,67,e22ef08911e116db1a04fa6d0d6669cc
"(60.110502, -149.443826)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,68,f15a9c290b16d1bad17e5b72e698db2d
"(61.195436, -149.83999)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,69,2fe3c60f11390be448f246324a32af97
"(61.133085, -146.357096)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,70,cfcede3cb69238e138d10a8b65335d1d
"(61.180849, -149.855683)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,71,47f7bba2898977b3fc2791aa2096d98e
"(64.858009, -147.847787)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,72,c7b009b4c5effc7a25a824faf4f04a06
"(33.580955, -112.113531)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,73,7055d8ee701907edbebc3ccbe6c39032
"(33.40334, -111.98646)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,74,f8da927906f53a1d5120099ec6717210
"(33.602489, -111.978446)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,75,a66f86985168a19a80985602b94465f6
"(32.235959, -110.927873)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,76,c24fe4a4d3ce28230f5a24c5ac52ca5f
"(33.622947, -112.182574)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,77,d4855a6c41eb40fc7a3fe08fcdeeadb1
"(33.577578, -112.091236)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,78,b23e6e0f8cd3dacb4030283789d6ddab
"(33.442432, -112.175284)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,79,394011e9e6fbcc9e36458315d1a870ad
"(33.561821, -112.116921)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,80,b3cc9de9ac24bdb3376a92f729c3c908
"(33.393316, -111.845197)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,81,390bee67f0031c48cd3d3085226f3566
"(32.270954, -110.978011)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,82,d643a5875e5113e90f6645c99c4a95b4
"(35.209765, -111.606672)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,83,5debb2199cf16574f6c13608f66c7647
"(32.236258, -110.871281)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,84,6d3ddd41ebbd9648605d3e002d0fc969
"(33.536413, -112.15781)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,85,ed8cde9fafe132512c2317736e46ee36
"(33.56756, -112.112382)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,86,e4e80f6ee4eac271f4444d833b0d230e
"(33.417515, -111.932128)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,87,6e7a58cf327001871d5692439cdc1a6f
"(32.69022, -114.49618)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,88,8a3a8b1961efba273f760703a9524a41
"(32.232112, -110.950875)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,89,e5b149cd52cf3b501c713e5cc9c091c7
"(32.252507, -110.926828)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,90,b2e6d373738e8ecc19f1fd56475c6d96
"(33.50225, -111.925323)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,91,16d815a4ecf57a548155e756ec856118
"(32.95582, -111.652297)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,92,bce0b5ed947a2e61b1de138f51988cd2
"(32.236286, -110.895053)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,93,6f8f910dc6329b10a499c92c7ec79343
"(34.475229, -114.328115)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,94,90f3b5a92289e47cbc837a60706f876c
"(31.361359, -109.668765)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,95,48de51f8d34cda86c56fb7db0da4c2d8
"(35.195723, -111.626367)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,96,6ab102555d2c7d05cce3a084902f1fd7
"(33.349019, -111.859237)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,97,12471201547e52fb422222677bf55392
"(32.220975, -110.856548)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,98,7faaeec7f3e04fa6b28775490da2f3b1
"(33.567573, -112.104979)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,99,af2a1f0101bd60ce30c2224d0e651076
"(33.376506, -111.859667)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,100,9bce9ba8ef2648e0fa21d12f0035c461
"(43.631621, -95.602864)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,100,e4ac4510cdbc246968e3255b35786585
"(32.84242, -109.763017)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,101,94347cfb1220f746a08cfbebc62f64f0
"(34.615181, -112.445315)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,102,67468f5e805d106b0e30530e8164f451
"(33.60715, -111.846477)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,103,57637201eca959531c8d16abc1f692c2
"(33.567524, -112.188466)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,104,aeb8cfa1c92d63c5fad365c1e0d55911
"(34.167223, -118.229868)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,104,d3965ea170502a00160c28291713bbeb
"(33.509446, -112.129876)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,105,e5b016f4076d09ca1717709163614d5e
"(33.4947, -112.050333)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,106,78576fc038fdde437a0a7a1957ee8c17
"(33.354361, -111.841802)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,107,9d17fb65d09d773cac0a9146a8fd3732
"(39.223607, -84.587432)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,107,c2b6bd51d91ed6a9b45d0b3794518bb1
"(33.349029, -111.95313)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,108,435333adaa40ce20517907637066b801
"(33.609028, -112.117258)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,109,8dc5fec471cbac3aea29773bbd62c532
"(33.435281, -112.355232)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,110,e19d6908217b7afc01e8d82bbaf2e02e
"(33.413592, -111.97543)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,111,55aa88b379086d7f9f9ebbe9963c02c1
"(33.449261, -111.995403)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,112,fcffab68c35ef1729335be8fc4bf7200
"(33.392945, -111.871413)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,113,ff217ff580d8dee7ca3cc90ca97b834f
"(32.297261, -110.997501)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,114,a3e1538b080115900e007b7297540a8a
"(33.380254, -111.969736)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,115,3249555f48c1d45512a107a58fc2e32c
"(35.268508, -114.022914)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,116,48b7693fc9a4160a09b6723ce1674775
"(33.683844, -112.121476)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,117,ba5e97303ae0a59d8cb36d7187944805
"(36.301684, -109.21009)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,118,bebe8b3439d1a7638da54e133f9fa73e
"(35.19398, -111.65582)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,119,a38e1d190682095af5763c2abaff2b0a
"(34.936766, -110.132719)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,120,74671e0710e73b8c5d4c1e76cdf0cc7e
"(33.577812, -112.113493)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,121,b9dabb81f82b595a4762e66b82494b52
"(33.480476, -112.088334)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,122,8113efcda549dcbd8f3bc8e1b6286137
"(33.46588, -111.908192)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,123,ad202bf639944a25a29ab9127be9c697
"(33.413016, -111.979941)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,124,71ba48a4072d373b08e7a4ca1a1733a7
"(32.226881, -110.985014)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,125,01339e18cfe377a31bfc387946fa578d
"(32.250463, -110.921331)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,126,5f7a7c0c23a93f70aca9004f94b7b777
"(35.105571, -106.59439)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,127,68cf464f2a14f84f769c3bc083e747be
"(34.544783, -112.47627)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,128,79258c6124ad718dce54e14a52ea5937
"(33.448254, -111.989439)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,129,497bb17c6226a4cf6cb0e88afa544654
"(33.413592, -111.974354)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,130,1b446c90f5932fe39c4c8c3c447d8f46
"(33.410024, -112.047076)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,131,b54d09815316dba35e2dd101f9f61547
"(32.834978, -109.727248)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,132,385790853a94b870ffcf1f1b72904c0b
"(33.509531, -111.887308)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,133,06aedf382b713a5a381531cae6cef051
"(33.382544, -112.030256)",Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,134,cbdf86c15aa155453309ec4bc50fcfa6
